
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL03       , FLOOR 3                                ,            21.120  ,   Walls - 2nd Coat Finish        ,         22.99
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL03       , FLOOR 3                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         22.99
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL03       , FLOOR 3                                ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         11.67
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL03       , FLOOR 3                                ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         32.22
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL03       , FLOOR 3                                ,            34.120  ,   Trim - 2nd Coat Finish         ,         12.68
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL03       , FLOOR 3                                ,            50.900  ,   Elevator Door & Frame          ,          4.00
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL03       , FLOOR 3                                ,            80.800  ,   Contingency - Original         ,         46.00
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL04       , FLOOR 4                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,         30.76
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL04       , FLOOR 4                                ,            21.120  ,   Walls - 2nd Coat Finish        ,         22.99
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL04       , FLOOR 4                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         22.99
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL04       , FLOOR 4                                ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         11.67
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL04       , FLOOR 4                                ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         32.22
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL04       , FLOOR 4                                ,            34.120  ,   Trim - 2nd Coat Finish         ,         12.68
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL04       , FLOOR 4                                ,            50.900  ,   Elevator Door & Frame          ,          4.00
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL04       , FLOOR 4                                ,            80.800  ,   Contingency - Original         ,         46.00
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL05       , Floor 05                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         30.76
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL05       , Floor 05                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         22.99
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL05       , Floor 05                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         22.99
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL05       , Floor 05                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         11.67
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL05       , Floor 05                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         32.22
